卡牌图标,卡牌标题,标签描述,ID,基础效果,套装,标签颜色,价格
91043,远征的荣光,头盔,1107296257,攻击力提升8-14%,逐战的凯歌,5,500
91036,破阵的掌握,手套,1107296317,暴击伤害提升24-40%,逐战的凯歌,5,500
91037,鏖战的坚毅,护甲,1107296318,生命值提升8-14%,逐战的凯歌,5,500
91040,先锋的足迹,靴子,1107296268,暴击伤害提升24-40%,逐战的凯歌,5,500
91039,进军的号令,饰品,1107296269,暴击率提升8-14%,逐战的凯歌,5,500
91043,碎颅者的冠冕,头盔,1107296270,生命值提升8-14%,砺骨战盟,5,500
91036,炼钢的指爪,手套,1107296271,攻击力提升8-14%,砺骨战盟,5,500
91037,盟骨坚铠,护甲,1107296272,生命值提升8-14%,砺骨战盟,5,500
91040,踏铁之靴,靴子,1107296273,防御力提升120-200,砺骨战盟,5,500
91039,铁血誓章,饰品,1107296274,造成的物理伤害提升12-18%,砺骨战盟,5,500
91043,沐天霖之冠,头盔,1107296275,暴击率提升8-14%,甘露同契,5,500
91036,引涌泉之握,手套,1107296276,造成的水元素伤害提升12-18%,甘露同契,5,500
91037,承润泽之袍,护甲,1107296287,生命值提升8-14%,甘露同契,5,500
91040,巡涓流之履,靴子,1107296286,治疗加成提升10-16%,甘露同契,5,500
91039,结甘泉之契,饰品,1107296285,攻击力提升8-14%,甘露同契,5,500
91043,逆境头箍,头盔,1107296284,生命值提升8-14%,铁棘,5,500
91036,惩戒铁拳,手套,1107296283,暴击率提升8-14%,铁棘,5,500
91037,荆棘之拥,护甲,1107296282,生命值提升8-14%,铁棘,5,500
91040,磐石战靴,靴子,1107296281,生命值提升8-14%,铁棘,5,500
91039,钢铁之心,饰品,1107296280,造成的物理伤害提升12-18%,铁棘,5,500
91043,不动的守望,头盔,1107296279,攻击力提升8-14%,不退之阵,5,500
91036,盘根之缚,手套,1107296278,攻击力提升8-14%,不退之阵,5,500
91037,层岩壁障,护甲,1107296315,防御力提升120-200,不退之阵,5,500
91040,固守的根基,靴子,1107296277,生命值提升8-14%,不退之阵,5,500
91039,军魂战徽,饰品,1107296288,暴击率提升8-14%,不退之阵,5,500
91043,飞花的晓盼,头盔,1107296289,攻击力提升8-14%,风花的恩典,5,500
91036,轻舞纱带,手套,1107296290,生命值提升8-14%,风花的恩典,5,500
91037,流香的长袖,护甲,1107296291,暴击伤害提升24-40%,风花的恩典,5,500
91040,踏风的追迹,靴子,1107296292,暴击率提升8-14%,风花的恩典,5,500
91039,蒲公英的誓约,饰品,1107296293,造成的风元素伤害提升8-14%,风花的恩典,5,500
91043,逐利金冠,头盔,1107296294,暴击伤害提升24-40%,黄金商旅,5,500
91040,行商履迹,靴子,1107296295,攻击力提升8-14%,黄金商旅,5,500
91039,磐石契符,饰品,1107296296,生命值提升8-14%,护盾使,5,500
91036,清辉手套,手套,1107296297,防御力提升120-200,纯净之躯,5,500
91037,圣裁法袍,护甲,1107296298,生命值提升8-14%,纯净之躯,5,500
91040,逐猎长靴,靴子,1107296299,暴击伤害提升24-40%,巡猎之志,5,500
91043,王猎战盔,头盔,1107296305,造成的雷元素伤害提升8-14%,巡猎之志,5,500
91036,迅影手套,手套,1107296304,攻击力提升8-14%,逐风者,5,500
91039,旅途挂坠,饰品,1107296303,生命值提升8-14%,逐风者,5,500
91043,暗契兜帽,头盔,1107296302,攻击力提升8-14%,蚀骨之环,5,500
91037,血疫铠甲,护甲,1107296301,生命值提升8-14%,蚀骨之环,5,500
91040,学徒长靴,靴子,1107296300,治疗加成提升10-16%,元素祈唤,5,500
